week,publishedAt
2020-08-01,49
2020-08-08,1188
2020-08-15,1395
2020-08-22,1428
2020-08-29,473
2020-09-01,1459
2020-09-08,1409
2020-09-15,1422
2020-09-22,1359
2020-09-29,393
2020-10-01,1417
2020-10-08,1389
2020-10-15,1366
2020-10-22,1229
2020-10-29,655
2020-11-01,1367
2020-11-08,1390
2020-11-15,1201
2020-11-22,1381
2020-11-29,371
2020-12-01,1240
2020-12-08,1478
2020-12-15,1511
2020-12-22,1285
2020-12-29,494
2021-01-01,1317
2021-01-08,1371
2021-01-15,1344
2021-01-22,1410
2021-01-29,547
2021-02-01,1438
2021-02-08,1428
2021-02-15,1419
2021-02-22,1368
2021-03-01,1472
2021-03-08,1290
2021-03-15,1502
2021-03-22,1416
2021-03-29,686
2021-04-01,1206
2021-04-08,1432
2021-04-15,1378
2021-04-22,1451
2021-04-29,435
2021-05-01,1401
2021-05-08,1360
2021-05-15,1141
2021-05-22,1113
2021-05-29,881
2021-06-01,2941
2021-06-08,2434
2021-06-15,1279
2021-06-22,1175
2021-06-29,475
2021-07-01,1478
2021-07-08,1429
2021-07-15,1414
2021-07-22,1304
2021-07-29,628
2021-08-01,1342
2021-08-08,1423
2021-08-15,1403
2021-08-22,1454
2021-08-29,516
2021-09-01,1484
2021-09-08,1512
2021-09-15,1275
2021-09-22,1282
2021-09-29,443
2021-10-01,1488
2021-10-08,1451
2021-10-15,1385
2021-10-22,1447
2021-10-29,563
2021-11-01,1223
2021-11-08,1529
2021-11-15,1433
2021-11-22,1121
2021-11-29,306
2021-12-01,1305
2021-12-08,1240
2021-12-15,1871
2021-12-22,1207
2021-12-29,539
2022-01-01,1334
2022-01-08,1371
2022-01-15,1389
2022-01-22,1400
2022-01-29,526
2022-02-01,1495
2022-02-08,1464
2022-02-15,1491
2022-02-22,1332
2022-03-01,1436
2022-03-08,1339
2022-03-15,1350
2022-03-22,1428
2022-03-29,712
2022-04-01,1421
2022-04-08,1624
2022-04-15,1093
2022-04-22,1398
2022-04-29,408
2022-05-01,1346
2022-05-08,1357
2022-05-15,1457
2022-05-22,1328
2022-05-29,742
2022-06-01,1218
2022-06-08,1427
2022-06-15,1452
2022-06-22,1369
2022-06-29,438
2022-07-01,1398
2022-07-08,1434
2022-07-15,1379
2022-07-22,1367
2022-07-29,611
2022-08-01,1408
2022-08-08,1457
2022-08-15,1418
2022-08-22,1295
2022-08-29,589
2022-09-01,1453
2022-09-08,1376
2022-09-15,1343
2022-09-22,1514
2022-09-29,358
2022-10-01,1404
2022-10-08,1400
2022-10-15,1443
2022-10-22,1349
2022-10-29,573
2022-11-01,1552
2022-11-08,1191
2022-11-15,1803
2022-11-22,828
2022-11-29,147
2022-12-01,1
